Report_Number, Iceberg_Number, x, y, z
11, R11I01, 16.8893, 9.887, 20
11, R11I01, 20.8969, 2.18348, 20
11, R11I01, 22.3852, -5.0494, 20
11, R11I01, 21.1877, -12.0992, 20
11, R11I01, 21.5016, -19.8338, 20
11, R11I01, 25.0679, -27.551, 20
11, R11I01, 27.9211, -37.5275, 20
11, R11I01, 27.8544, -41.226, 20
11, R11I01, 28.7804, -42.4682, 20
11, R11I01, 32.4464, -44.6638, 20
11, R11I01, 33.4459, -44.6869, 20
11, R11I01, 35.5361, -41.0287, 20
11, R11I01, 38.1301, -37.9426, 20
11, R11I01, 39.4619, -36.7896, 20
11, R11I01, 41.1881, -32.4868, 20
11, R11I01, 43.7057, -29.9543, 20
11, R11I01, 44.5572, -27.7273, 20
11, R11I01, 44.5299, -26.4149, 20
11, R11I01, 44.4076, -24.3807, 20
11, R11I01, 44.5702, -20.3197, 20
11, R11I01, 46.0923, -13.8586, 20
11, R11I01, 47.6883, -9.9394, 20
11, R11I01, 48.8803, -7.6052, 20
11, R11I01, 51.4168, -2.15605, 20
11, R11I01, 53.4983, 1.86572, 20
11, R11I01, 56.0355, 5.7871, 20
11, R11I01, 58.3081, 9.776, 20
11, R11I01, 59.4699, 12.5079, 20
11, R11I01, 62.12, 16.939, 20
11, R11I01, 72.0988, 24.944, 20
11, R11I01, 73.1793, 26.6, 20
11, R11I01, 70.2647, 27.355, 20
11, R11I01, 66.5233, 28.449, 20
