Report_Number, Iceberg_Number, X_Value, Y_Value, Z_Value
12, R12I05, 114.2236, -27.27597, -20
12, R12I05, 113.2792, -29.38846, -20
12, R12I05, 111.788, -31.42639, -20
12, R12I05, 110.1974, -33.11638, -20
12, R12I05, 108.756, -34.5827, -20
12, R12I05, 107.3394, -36.17328, -20
12, R12I05, 105.8979, -37.66445, -20
12, R12I05, 103.9594, -39.45385, -20
12, R12I05, 101.7972, -41.09414, -20
12, R12I05, 99.85867, -42.36163, -20
12, R12I05, 97.94498, -43.72853, -20
12, R12I05, 96.10587, -45.04574, -20
12, R12I05, 93.59573, -46.9097, -20
12, R12I05, 90.83707, -48.89793, -20
12, R12I05, 88.92342, -49.84233, -20
12, R12I05, 86.96004, -50.73703, -20
12, R12I05, 85.12093, -51.85541, -20
12, R12I05, 83.38123, -52.82467, -20
12, R12I05, 81.19417, -53.94305, -20
12, R12I05, 79.03198, -55.03657, -20
12, R12I05, 76.99406, -55.90642, -20
12, R12I05, 74.95612, -56.72657, -20
12, R12I05, 72.94305, -57.49701, -20
12, R12I05, 70.73113, -58.342, -20
12, R12I05, 68.61864, -59.08759, -20
12, R12I05, 66.58073, -59.6592, -20
12, R12I05, 64.31912, -60.33023, -20
12, R12I05, 61.80896, -61.12551, -20
12, R12I05, 59.2243, -62.09478, -20
12, R12I05, 56.68929, -62.66639, -20
12, R12I05, 54.22886, -63.06404, -20
12, R12I05, 51.76845, -63.41198, -20
12, R12I05, 49.55654, -63.75991, -20
12, R12I05, 47.36948, -64.10785, -20
12, R12I05, 44.98362, -64.58006, -20
12, R12I05, 42.77171, -64.928, -20
12, R12I05, 40.75863, -64.928, -20
12, R12I05, 38.57158, -64.80373, -20
12, R12I05, 36.08629, -64.62976, -20
12, R12I05, 33.70042, -64.43095, -20
12, R12I05, 31.63766, -63.98359, -20
12, R12I05, 29.27664, -63.16345, -20
12, R12I05, 27.08958, -62.34331, -20
12, R12I05, 24.77827, -61.49831, -20
12, R12I05, 22.91431, -60.45449, -20
12, R12I05, 20.90122, -58.91361, -20
12, R12I05, 19.13667, -57.79523, -20
12, R12I05, 17.47153, -56.67686, -20
12, R12I05, 15.55786, -55.18569, -20
12, R12I05, 14.017, -53.86849, -20
12, R12I05, 12.12818, -52.07909, -20
12, R12I05, 10.5873, -50.58792, -20
12, R12I05, 9.195545, -49.09675, -20
12, R12I05, 7.331583, -47.3819, -20
12, R12I05, 5.815567, -46.0647, -20
12, R12I05, 3.926744, -44.54868, -20
12, R12I05, 1.913671, -43.25633, -20
12, R12I05, 0.1242641, -42.0634, -20
12, R12I05, -1.615434, -40.79591, -20
12, R12I05, -3.703077, -40.22429, -20
12, R12I05, -6.014387, -40.96988, -20
12, R12I05, -7.381292, -42.46105, -20
12, R12I05, -8.325697, -44.77236, -20
12, R12I05, -9.667755, -46.41264, -20
12, R12I05, -11.82994, -46.78544, -20
12, R12I05, -13.84303, -46.4375, -20
12, R12I05, -16.00523, -46.33808, -20
12, R12I05, -18.04315, -46.46235, -20
12, R12I05, -20.23021, -46.53691, -20
12, R12I05, -22.41725, -45.66706, -20
12, R12I05, -23.88356, -44.07648, -20
12, R12I05, -24.2315, -41.74031, -20
12, R12I05, -25.05165, -39.8515, -20
12, R12I05, -26.89076, -39.08106, -20
12, R12I05, -28.90383, -38.55915, -20
12, R12I05, -30.99148, -38.01239, -20
12, R12I05, -33.4022, -37.41592, -20
12, R12I05, -35.81292, -36.91886, -20
12, R12I05, -38.04967, -36.57092, -20
12, R12I05, -40.16216, -36.22298, -20
