Report_Number, Iceberg_Number, X_Value, Y_Value, Z_Value
12, R12I10, 88.67061, 8.071124, -15
12, R12I10, 88.76995, 8.120795, -15
12, R12I10, 88.14909, 5.885715, -15
12, R12I10, 87.55306, 3.725134, -15
12, R12I10, 86.98186, 1.514897, -15
12, R12I10, 86.51004, -0.5960124, -15
12, R12I10, 86.21201, -2.806265, -15
12, R12I10, 86.21201, -5.091017, -15
12, R12I10, 86.38587, -7.102583, -15
12, R12I10, 86.68387, -9.138992, -15
12, R12I10, 87.25507, -11.44857, -15
12, R12I10, 87.70206, -13.60915, -15
12, R12I10, 88.34775, -15.74489, -15
12, R12I10, 89.06795, -17.75647, -15
12, R12I10, 89.88749, -19.71837, -15
12, R12I10, 90.85603, -21.80445, -15
12, R12I10, 91.55137, -24.1637, -15
12, R12I10, 91.89906, -26.24977, -15
12, R12I10, 92.02322, -28.43518, -15
12, R12I10, 92.07288, -30.59576, -15
12, R12I10, 91.92388, -32.97985, -15
12, R12I10, 91.52654, -35.01625, -15
12, R12I10, 90.48352, -37.152, -15
12, R12I10, 89.21695, -39.13874, -15
12, R12I10, 87.70206, -40.97647, -15
12, R12I10, 86.31136, -42.61553, -15
12, R12I10, 84.59779, -43.95657, -15
12, R12I10, 83.00839, -45.5708, -15
12, R12I10, 81.19551, -46.91185, -15
12, R12I10, 79.58128, -48.12873, -15
12, R12I10, 77.91737, -49.4201, -15
12, R12I10, 76.05481, -50.61215, -15
12, R12I10, 74.31641, -51.70486, -15
12, R12I10, 72.25519, -52.57405, -15
12, R12I10, 70.4671, -53.46809, -15
12, R12I10, 68.48037, -54.43662, -15
12, R12I10, 66.71714, -55.85217, -15
12, R12I10, 65.12775, -57.16839, -15
12, R12I10, 63.31487, -58.7081, -15
12, R12I10, 61.8993, -60.12366, -15
12, R12I10, 60.63276, -61.66338, -15
12, R12I10, 59.09305, -63.02927, -15
12, R12I10, 56.98214, -63.42661, -15
12, R12I10, 54.9954, -63.42661, -15
12, R12I10, 52.68581, -63.60045, -15
12, R12I10, 50.67424, -64.09714, -15
12, R12I10, 48.66267, -64.04746, -15
12, R12I10, 46.40276, -63.9978, -15
12, R12I10, 44.29185, -64.24614, -15
12, R12I10, 42.03191, -64.59382, -15
12, R12I10, 39.72235, -64.91666, -15
