X_Value Y_Value Z_Value a b c
-21.35001 68.85001 -0.45 0 0 0 
-57.64999 34.65 0.15 0 0 0 
-25.85001 67.64999 -1.35 0 0 0 
52.14999 20.55 -0.15 0 0 0 
44.35001 44.25 1.95 0 0 0 
45.55 46.35 4.65 0 0 0 
53.35001 15.15 3.75 0 0 0 
31.45 57.45 0.15 0 0 0 
-54.05 35.85 6.45 0 0 0 
-24.05 46.65 5.25 0 0 0 
-61.25 18.45 9.75 0 0 0 
43.75 -1.949997 13.65 0 0 0 
-44.14999 66.75 0.75 0 0 0 
29.95 51.75 0.15 0 0 0 
-25.25 50.85 5.25 0 0 0 
54.85001 7.349998 13.35 0 0 0 
37.45 -7.050003 13.65 0 0 0 
44.95 -0.4499969 6.45 0 0 0 
54.25 12.45 5.25 0 0 0 
54.25 9.449997 10.35 0 0 0 
-51.95 43.35 5.25 0 0 0 
-45.64999 64.64999 4.05 0 0 0 
42.25 45.75 -1.05 0 0 0 
49.45 12.45 -1.35 0 0 0 
-60.05 15.15 7.65 0 0 0 
50.05 22.05 3.75 0 0 0 
-56.45 28.95 -0.45 0 0 0 
36.85001 -5.849998 6.15 0 0 0 
32.35001 -7.050003 15.45 0 0 0 
-43.25 66.75 1.95 0 0 0 
32.95 -8.550003 1.95 0 0 0 
52.45 9.150002 0.15 0 0 0 
-42.35001 66.45 3.75 0 0 0 
-41.45 65.85001 1.65 0 0 0 
40.45 -4.949997 12.15 0 0 0 
15.85001 17.55 0.45 0 0 0 
-54.64999 40.05 8.25 0 0 0 
43.75 40.35 4.05 0 0 0 
-52.55 42.45 -1.35 0 0 0 
-26.45 68.55 2.25 0 0 0 
40.75 9.150002 9.15 0 0 0 
47.35001 0.75 13.65 0 0 0 
45.25 37.95 2.55 0 0 0 
-59.75 33.15 1.95 0 0 0 
-52.55 37.65 1.65 0 0 0 
-13.55 65.25 1.05 0 0 0 
24.85001 -4.949997 7.95 0 0 0 
50.64999 1.050003 6.15 0 0 0 
52.45 4.349998 -1.05 0 0 0 
23.35001 -4.349998 10.65 0 0 0 
-58.55 28.65 4.05 0 0 0 
41.64999 -7.650002 8.25 0 0 0 
