Report_Number, Iceberg_Number, X_Value, Y_Value, Z_Value
12, R12I03, 123.9618, -68.65665, -10
12, R12I03, 120.8335, -68.76837, -10
12, R12I03, 117.854, -68.35871, -10
12, R12I03, 114.5394, -67.57661, -10
12, R12I03, 111.2994, -66.94349, -10
12, R12I03, 108.171, -66.86901, -10
12, R12I03, 105.1171, -67.46488, -10
12, R12I03, 102.1377, -68.39594, -10
12, R12I03, 98.18996, -69.69943, -10
12, R12I03, 95.43405, -70.96569, -10
12, R12I03, 93.60915, -73.34921, -10
12, R12I03, 91.85873, -75.76997, -10
12, R12I03, 89.14005, -78.26522, -10
12, R12I03, 86.79375, -80.23908, -10
12, R12I03, 84.37299, -82.6226, -10
12, R12I03, 82.13844, -84.6337, -10
12, R12I03, 79.38248, -86.60756, -10
12, R12I03, 76.06792, -88.58141, -10
12, R12I03, 73.27473, -90.03387, -10
12, R12I03, 70.63048, -91.48633, -10
12, R12I03, 67.83729, -93.46019, -10
12, R12I03, 65.26759, -95.09885, -10
12, R12I03, 62.06469, -96.14164, -10
12, R12I03, 58.67563, -96.51407, -10
12, R12I03, 55.13758, -96.84926, -10
12, R12I03, 51.45057, -97.10995, -10
12, R12I03, 48.39669, -97.03548, -10
12, R12I03, 44.74691, -96.92374, -10
12, R12I03, 41.61857, -96.77477, -10
12, R12I03, 38.11776, -96.21613, -10
12, R12I03, 35.21282, -95.54577, -10
12, R12I03, 32.15895, -93.94434, -10
12, R12I03, 30.29683, -91.30011, -10
12, R12I03, 29.36576, -87.98553, -10
12, R12I03, 28.91885, -84.44749, -10
12, R12I03, 29.3285, -81.35636, -10
12, R12I03, 30.11061, -78.22799, -10
12, R12I03, 30.74372, -75.24858, -10
12, R12I03, 28.58365, -73.05126, -10
12, R12I03, 25.64151, -73.90785, -10
12, R12I03, 22.10347, -74.392, -10
12, R12I03, 18.71438, -75.39755, -10
12, R12I03, 15.43704, -76.40309, -10
12, R12I03, 12.49487, -77.07346, -10
12, R12I03, 9.143041, -77.78107, -10
12, R12I03, 5.753978, -78.48868, -10
12, R12I03, 1.918, -79.15905, -10
12, R12I03, -1.284872, -79.68044, -10
12, R12I03, -4.487722, -79.68044, -10
12, R12I03, -6.722275, -77.70658, -10
12, R12I03, -7.727829, -74.35475, -10
12, R12I03, -7.914041, -70.85396, -10
12, R12I03, -7.765062, -67.57661, -10
12, R12I03, -6.871254, -64.26203, -10
12, R12I03, -6.014657, -60.94744, -10
12, R12I03, -5.679488, -57.85631, -10
12, R12I03, -5.083594, -54.46724, -10
12, R12I03, -4.301509, -51.41335, -10
12, R12I03, -3.295956, -47.80082, -10
12, R12I03, -2.402149, -44.74693, -10
12, R12I03, -1.135893, -41.35786, -10
12, R12I03, 1.861673E-02, -38.22948, -10
12, R12I03, 1.545575, -34.80317, -10
12, R12I03, 3.109766, -31.89825, -10
12, R12I03, 5.083617, -29.32853, -10
12, R12I03, 7.31817, -26.98223, -10
12, R12I03, 9.589955, -24.89666, -10
12, R12I03, 12.38315, -22.92281, -10
12, R12I03, 15.69774, -21.09791, -10
12, R12I03, 18.26746, -19.49649, -10
12, R12I03, 21.1724, -17.59713, -10
12, R12I03, 24.11455, -15.43704, -10
12, R12I03, 27.09395, -13.3887, -10
12, R12I03, 30.29683, -11.67555, -10
12, R12I03, 32.82932, -9.999638, -10
12, R12I03, 35.51078, -7.839574, -10
12, R12I03, 38.00602, -5.940191, -10
12, R12I03, 40.8737, -3.891851, -10
12, R12I03, 43.51793, -2.066979, -10
12, R12I03, 46.08767, 5.585018E-02, -10
12, R12I03, 48.02427, 2.327636, -10
12, R12I03, 49.4395, 5.009104, -10
12, R12I03, 51.00367, 7.876785, -10
12, R12I03, 50.33329, 10.7817, -10
12, R12I03, 48.80635, 13.61215, -10
12, R12I03, 46.19938, 15.586, -10
12, R12I03, 43.44342, 16.92672, -10
12, R12I03, 40.68748, 18.3047, -10
12, R12I03, 37.93155, 19.71991, -10
12, R12I03, 35.3618, 21.43308, -10
12, R12I03, 36.06942, 24.78491, -10
12, R12I03, 38.04327, 27.35463, -10
12, R12I03, 40.98542, 29.62644, -10
12, R12I03, 44.03933, 31.71202, -10
12, R12I03, 46.90699, 33.42516, -10
12, R12I03, 49.58844, 35.32455, -10
12, R12I03, 52.34439, 37.44738, -10
12, R12I03, 54.42997, 39.90538, -10
12, R12I03, 55.95695, 42.51235, -10
12, R12I03, 55.02589, 45.56625, -10
12, R12I03, 53.75963, 48.39667, -10
12, R12I03, 52.23269, 51.00365, -10
12, R12I03, 50.33329, 53.79684, -10
12, R12I03, 48.09874, 56.40382, -10
12, R12I03, 46.23661, 59.15977, -10
12, R12I03, 44.03933, 62.17641, -10
12, R12I03, 42.06546, 65.26754, -10
12, R12I03, 40.57576, 68.13522, -10
12, R12I03, 39.6447, 71.0029, -10
12, R12I03, 39.27227, 74.3175, -10
